Var1,Freq,departamento
Alto estado nutricional,45,22019334,Amazonas
Bajo estado nutricional,54,77980666,Amazonas
Alto estado nutricional,53,36021505,Ancash
Bajo estado nutricional,46,63978495,Ancash
Alto estado nutricional,43,05732484,Apurimac
Bajo estado nutricional,56,94267516,Apurimac
Alto estado nutricional,60,60606061,Arequipa
Bajo estado nutricional,39,39393939,Arequipa
Alto estado nutricional,39,18770582,Ayacucho
Bajo estado nutricional,60,81229418,Ayacucho
Alto estado nutricional,49,86486486,Cajamarca
Bajo estado nutricional,50,13513514,Cajamarca
Alto estado nutricional,58,11455847,Callao
Bajo estado nutricional,41,88544153,Callao
Alto estado nutricional,56,49794802,Cusco
Bajo estado nutricional,43,50205198,Cusco
Alto estado nutricional,57,62711864,Huancavelica
Bajo estado nutricional,42,37288136,Huancavelica
Alto estado nutricional,55,30216648,Huanuco
Bajo estado nutricional,44,69783352,Huanuco
Alto estado nutricional,40,39167687,Ica
Bajo estado nutricional,59,60832313,Ica
Alto estado nutricional,58,04816223,Junin
Bajo estado nutricional,41,95183777,Junin
Alto estado nutricional,62,7824019,Libertad
Bajo estado nutricional,37,2175981,Libertad
Alto estado nutricional,57,12545676,Lambayeque
Bajo estado nutricional,42,87454324,Lambayeque
Alto estado nutricional,40,9823772,Lima
Bajo estado nutricional,59,0176228,Lima
Alto estado nutricional,52,40083507,Loreto
Bajo estado nutricional,47,59916493,Loreto
Alto estado nutricional,59,24050633,Madre_de_Dios
Bajo estado nutricional,40,75949367,Madre_de_Dios
Alto estado nutricional,57,70804911,Moquegua
Bajo estado nutricional,42,29195089,Moquegua
Alto estado nutricional,47,86931818,Pasco
Bajo estado nutricional,52,13068182,Pasco
Alto estado nutricional,39,30885529,Piura
Bajo estado nutricional,60,69114471,Piura
Alto estado nutricional,53,79844961,Puno
Bajo estado nutricional,46,20155039,Puno
Alto estado nutricional,40,90909091,San_Martin
Bajo estado nutricional,59,09090909,San_Martin
Alto estado nutricional,44,4591029,Tacna
Bajo estado nutricional,55,5408971,Tacna
Alto estado nutricional,59,95500562,Tumbes
Bajo estado nutricional,40,04499438,Tumbes
Alto estado nutricional,44,40860215,Ucayali
Bajo estado nutricional,55,59139785,Ucayali
